	M1PX	M1PY	M1PZ	M1RX	M1RY	M1RZ	M2PX	M2PY	M2PZ	M2RX	M2RY	M2RZ	M3PX	M3PY	M3PZ	M3RX	M3RY	M3RZ
154	-0.0591962444748	0.00767583549424	0.187472829028	0.991666756979	2.33736255804	-1.04546538032	-0.0587097538836	0.0075085745335	0.185839029312	0.988690721698	2.32895064261	-1.04509098137	0.0585256463414	-0.0781614575464	0.305666930741	2.16764812589	0.830911239406	-0.276487647505
155	-0.0598169822617	0.00705923453755	0.187872233011	0.973172041105	2.34173171625	-1.04536919448	-0.0593845852216	0.00682132804516	0.186074486755	0.974107252023	2.33863859098	-1.04163654349	0.0585697117372	-0.0787068617633	0.307198243103	2.17009106058	0.83355795118	-0.276900663333
156	-0.0602980573959	0.00648341542221	0.188002886372	0.964242504839	2.34788311834	-1.0377643307	-0.0598059145038	0.00635065183368	0.186408213745	0.96308112722	2.34537782239	-1.04414166808	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857
157	-0.0608275284883	0.00601249742914	0.188638690914	0.951524403405	2.35378033828	-1.04633622851	-0.0605012826254	0.00584132737048	0.187293043284	0.950198899753	2.35056603204	-1.04144346448	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857
158	-0.0608275284883	0.00601249742914	0.188638690914	0.951524403405	2.35378033828	-1.04633622851	-0.0605012826254	0.00584132737048	0.187293043284	0.950198899753	2.35056603204	-1.04144346448	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857
159	-0.0608275284883	0.00601249742914	0.188638690914	0.951524403405	2.35378033828	-1.04633622851	-0.0605012826254	0.00584132737048	0.187293043284	0.950198899753	2.35056603204	-1.04144346448	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857
160	-0.0608275284883	0.00601249742914	0.188638690914	0.951524403405	2.35378033828	-1.04633622851	-0.0605012826254	0.00584132737048	0.187293043284	0.950198899753	2.35056603204	-1.04144346448	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857
161	-0.062962758768	0.00369179369398	0.190508831952	0.902916364024	2.38502828021	-1.0738033209	-0.0625474125139	0.00353380274279	0.188988411568	0.901521555007	2.38314772278	-1.07172122068	0.0581872786061	-0.0780780425772	0.304873323168	2.17213306383	0.820231703824	-0.260600058218
162	-0.0634270206776	0.00300564438869	0.190927660689	0.887531639243	2.39323611183	-1.07676664499	-0.0630586316569	0.00287774806503	0.189295349111	0.892591766603	2.38892041246	-1.07138867047	0.0581850343146	-0.0782213821653	0.305449929854	2.17015472491	0.825778489657	-0.276651856419
163	-0.0639650056911	0.00236397615678	0.191220694348	0.876432320684	2.40174459552	-1.08451910122	-0.063614447596	0.00221684268423	0.189847659758	0.874450748138	2.40034915315	-1.07424257684	0.0584288718032	-0.0785800453042	0.306705133451	2.16985652738	0.830160909261	-0.273690022963
164	-0.0644590551604	0.00179387651371	0.191552714787	0.860478375275	2.40244030755	-1.08757051448	-0.0640498652423	0.00164998137899	0.190162826201	0.862397893645	2.40617380793	-1.08494145262	0.0584288718032	-0.0785800453042	0.306705133451	2.16985652738	0.830160909261	-0.273690022963
165	-0.0647171474007	0.00117298666531	0.191659438894	0.849276756213	2.41348197043	-1.09425914986	-0.0645530568931	0.00105880372383	0.190564432047	0.851410196319	2.40983043426	-1.08059378013	0.0581850343146	-0.0782213821653	0.305449929854	2.17015472491	0.825778489657	-0.276651856419
166	-0.0651853818574	0.000622790344978	0.192279322225	0.83788968512	2.42345402719	-1.10027163825	-0.0649473429896	0.000487874037894	0.191011054303	0.838001220169	2.41659237875	-1.08364178697	0.0583251075728	-0.0783473740229	0.305940050316	2.17038172139	0.829153488443	-0.279853385003
167	-0.0660708672826	8.8427317051e-06	0.193910667185	0.818163671703	2.43561220133	-1.0894908635	-0.0652352781163	-0.000108225999733	0.191073774245	0.825970939585	2.42483532687	-1.09337296546	0.0583251075728	-0.0783473740229	0.305940050316	2.17038172139	0.829153488443	-0.279853385003
168	-0.0660708672826	8.8427317051e-06	0.193910667185	0.818163671703	2.43561220133	-1.0894908635	-0.0652352781163	-0.000108225999733	0.191073774245	0.825970939585	2.42483532687	-1.09337296546	0.0583251075728	-0.0783473740229	0.305940050316	2.17038172139	0.829153488443	-0.279853385003
169	-0.0664037227661	-0.00106460338586	0.193317202403	0.802077578148	2.43792266772	-1.11012620915	-0.0661170723327	-0.00121922141472	0.192252661478	0.80032672845	2.43694608066	-1.10095581564	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794
170	-0.0667368892901	-0.00157678839238	0.193769005337	0.784082790348	2.43877010188	-1.1164350014	-0.0665014742565	-0.00179509632863	0.192467719945	0.790818473531	2.44104183869	-1.10037664665	0.0581872786061	-0.0780780425772	0.304873323168	2.17213306383	0.820231703824	-0.260600058218
171	-0.067111830234	-0.00223176210543	0.194042437489	0.777686226226	2.45150903273	-1.11348880953	-0.0667133504211	-0.00228104175366	0.192855841552	0.776655557699	2.4492709371	-1.11184759325	0.0581872786061	-0.0780780425772	0.304873323168	2.17213306383	0.820231703824	-0.260600058218
172	-0.0676946062596	-0.00269221359795	0.195283566752	0.761757304962	2.45662754896	-1.11694692343	-0.0671892061244	-0.00291877859385	0.193380608492	0.766713995681	2.45602775504	-1.1089268299	0.0581850343146	-0.0782213821653	0.305449929854	2.17015472491	0.825778489657	-0.276651856419
