	M1PX	M1PY	M1PZ	M1TX	M1TY	M1TZ	M2PX	M2PY	M2PZ	M2TX	M2TY	M2TZ
180	1.74501408577	1.95060345527	-0.720296638857	-1.32716002131	0.581649350826	10.7092296228	1.97482102396	2.19942272062	-0.67564253237	2.57841561731	1.03333149214	11.7142462268
181	1.746852633	1.95639407422	-0.726530099206	-1.32464099523	0.583039466729	10.7289882965	2.00377287994	2.22419295153	-0.494363389126	2.56422106197	1.01966033942	11.6646037685
182	1.74798097892	1.95208187331	-0.713487180836	-1.32616739009	0.587287977164	10.7440170474	2.13764086187	2.31364030476	-0.545339578709	2.59344488547	1.03051264902	11.73256217
183	1.74627899269	1.95603751116	-0.72816591405	-1.31737895896	0.590340185442	10.7288322321	2.51665019028	2.5376102368	-0.0577432709387	2.39089245254	0.985086708417	11.0020798612
184	1.7368252762	1.94680163506	-0.720235079259	-1.31316120232	0.594728364499	10.7150300822	2.50766404762	2.52620320937	-0.0801389980472	2.41011407495	0.992540166255	11.0607643917
185	1.7368252762	1.94680163506	-0.720235079259	-1.31316120232	0.594728364499	10.7150300822	2.50766404762	2.52620320937	-0.0801389980472	2.41011407495	0.992540166255	11.0607643917
186	1.74693034486	1.95126105897	-0.715259240594	-1.31197413787	0.598243079306	10.74399671	2.50040864415	2.52351581419	-0.0643486230659	2.41205063582	0.9979789141	11.0445540427
187	1.73625712513	1.94646249673	-0.721878038963	-1.30590918465	0.602019475165	10.7148842365	2.51040479925	2.51999249725	-0.0317385627106	2.40775131514	1.01243169591	11.0173688488
188	1.74243649428	1.95506164384	-0.718136460419	-1.30688563323	0.605677413871	10.778132397	2.5089198997	2.51877268189	-0.0298486139829	2.40878249143	1.02026694806	11.0219473135
189	1.73869397737	1.94707983703	-0.714181062724	-1.30521918703	0.611353079714	10.7507531179	2.50677863648	2.52231000313	-0.0519272862587	2.40998054448	1.01909928355	11.0266473909
190	1.74530284032	1.94558485743	-0.728301490991	-1.30450551639	0.611081534877	10.744829579	2.53456803962	2.51357802577	-0.039294327252	2.39081746427	1.01931840802	11.0046044997
191	1.7421746587	1.9445406761	-0.737462997215	-1.29791375753	0.609017376256	10.7085499356	2.54191596134	2.49044669632	-0.0528269634922	2.37525936848	1.01899355979	10.9955668342
192	1.75604440608	1.9607451758	-0.727410305195	-1.30541409544	0.619589021041	10.7650231661	2.54843919298	2.47670472969	-0.0657478086299	2.38614109665	1.04660122141	11.0506937665
193	1.74135100708	1.95372676711	-0.719343430335	-1.30697103267	0.620328446507	10.7799807382	2.56350989515	2.46660781953	-0.0524424162411	2.38408617646	1.06013537664	11.031071627
194	1.75284078957	1.95349563262	-0.722514274548	-1.30385041245	0.617988526785	10.7379482356	2.54687948439	2.45346522859	-0.0579316525566	2.41780381328	1.07040333184	11.0825053197
195	1.74135100708	1.95372676711	-0.719343430335	-1.30697103267	0.620328446507	10.7799807382	2.54287857665	2.44591470884	-0.0350722730067	2.43851816274	1.08206812824	11.1093513338
196	1.744790475	1.94460108745	-0.727848781976	-1.31186418714	0.618375798709	10.746814664	2.52903075119	2.42976648795	-0.0645915215587	2.49334475452	1.09742431909	11.2340369879
197	1.744790475	1.94460108745	-0.727848781976	-1.31186418714	0.618375798709	10.746814664	2.53347862187	2.43407988641	-0.0575174399207	2.5394602989	1.09702123194	11.2558843595
198	1.74790117895	1.95176757821	-0.732599727371	-1.31349685598	0.62000071098	10.7743368312	2.51644969586	2.42163959047	-0.0737412584409	2.61958609983	1.11903699204	11.3970579992
199	1.74482059092	1.94428351492	-0.726802315232	-1.31918128587	0.618368054668	10.7478809037	2.50311118609	2.41480097882	-0.0998744341697	2.68446758738	1.13370360722	11.4839952107
200	1.74040606134	1.94793397732	-0.728226363833	-1.3144651864	0.622198464988	10.7823202937	2.46041833902	2.39339227496	-0.0907909663012	2.7739401452	1.14364104587	11.6227707742
201	1.74745143583	1.95097497069	-0.731722583453	-1.31389386138	0.623662055136	10.7755752708	2.4258624047	2.38052053368	-0.100953562716	2.87490116564	1.15698238829	11.7909685996
