	M1PX	M1PY	M1PZ	M1RX	M1RY	M1RZ	M1a	M2PX	M2PY	M2PZ	M2RX	M2RY	M2RZ	M2a
154	-0.0587685084374	0.0073891995074	0.185827110675	0.988450707034	2.33225252858	-1.03500310956	4.71238898038	0.0585256463414	-0.0781614575464	0.305666930741	2.16764812589	0.830911239406	-0.276487647505	0.0
155	-0.0593155842334	0.00684592115638	0.186071996694	0.971127689697	2.33948899079	-1.04177059989	4.71238898038	0.0581014978443	-0.0779567808681	0.304397782811	2.17072719552	0.824440602509	-0.266632607105	0.0
156	-0.0597864256526	0.00629673588593	0.186119536657	0.961328825714	2.34503516477	-1.04058737712	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
157	-0.0604652874511	0.00585920652	0.186989536532	0.955505464565	2.34952537857	-1.04146659915	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
158	-0.0604652874511	0.00585920652	0.186989536532	0.955505464565	2.34952537857	-1.04146659915	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
159	-0.0604652874511	0.00585920652	0.186989536532	0.955505464565	2.34952537857	-1.04146659915	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
160	-0.0604652874511	0.00585920652	0.186989536532	0.955505464565	2.34952537857	-1.04146659915	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
161	-0.0625668174687	0.00346040027844	0.188751891958	0.901255204623	2.38371166949	-1.06252831564	4.71238898038	0.0580160143961	-0.0778648239635	0.304189446425	2.17279915983	0.819456802747	-0.267072749702	0.0
162	-0.0629919640175	0.002827711958	0.189186486728	0.887538655618	2.38937933947	-1.06976197363	4.71238898038	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857	0.0
163	-0.0635523141677	0.00221624607457	0.189563830224	0.874382915487	2.39743109427	-1.07489788351	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
164	-0.0640473279405	0.00160170768413	0.189997751457	0.86160604289	2.40390023348	-1.07754058237	4.71238898038	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857	0.0
165	-0.0644553476926	0.000962026425101	0.190353576024	0.849203196096	2.41364682169	-1.07870022399	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
166	-0.0647741347939	0.000464039617297	0.190651176877	0.834327167243	2.41871073526	-1.08771960925	4.71238898038	0.0583251075728	-0.0783473740229	0.305940050316	2.17038172139	0.829153488443	-0.279853385003	0.0
167	-0.0652326018176	-0.00013026237359	0.190898996327	0.827514975734	2.42311430203	-1.08843951191	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
168	-0.0652326018176	-0.00013026237359	0.190898996327	0.827514975734	2.42311430203	-1.08843951191	4.71238898038	0.0583927718916	-0.0784859156487	0.306485549881	2.17067905368	0.832723852684	-0.283402040794	0.0
169	-0.0659706792212	-0.00128004280079	0.191602605221	0.805027261545	2.43594449694	-1.0983819051	4.71238898038	0.058157161737	-0.0779923095865	0.30468564208	2.17306022065	0.822818134703	-0.270237363785	0.0
170	-0.0663472505411	-0.00181627011411	0.19222554203	0.790600783182	2.44485252987	-1.10071872712	4.71238898038	0.0581872786061	-0.0780780425772	0.304873323168	2.17213306383	0.820231703824	-0.260600058218	0.0
171	-0.0667945810036	-0.00235379215747	0.192862187984	0.777853277551	2.44858893866	-1.09878662702	4.71238898038	0.0579604481909	-0.0778293048921	0.303901846409	2.17046120618	0.821078919389	-0.263487112599	0.0
172	-0.0671081081397	-0.00289118956433	0.193225679345	0.763631953507	2.45674247815	-1.10969116133	4.71238898038	0.0582531459364	-0.0783605629487	0.305997927646	2.17046246178	0.829341195662	-0.280180507857	0.0
173	-0.0674954205258	-0.00352905682453	0.193675583866	0.753483454309	2.463722841	-1.10782143967	4.71238898038	0.0583251075728	-0.0783473740229	0.305940050316	2.17038172139	0.829153488443	-0.279853385003	0.0
174	-0.0678350704	-0.00399474525684	0.194049115846	0.742892795534	2.46665930322	-1.11673331446	4.71238898038	0.0580160143961	-0.0778648239635	0.304189446425	2.17279915983	0.819456802747	-0.267072749702	0.0
175	-0.0680643407316	-0.00461300025379	0.194416239976	0.729483515095	2.47627102737	-1.12246761576	4.71238898038	0.0581872786061	-0.0780780425772	0.304873323168	2.17213306383	0.820231703824	-0.260600058218	0.0
176	-0.0683277979001	-0.00512442756615	0.194590870158	0.718382410857	2.47739119102	-1.12463401934	4.71238898038	0.0581850343146	-0.0782213821653	0.305449929854	2.17015472491	0.825778489657	-0.276651856419	0.0
177	-0.0685031895816	-0.00561439804609	0.194811103561	0.707851579075	2.48299476835	-1.131682972	4.71238898038	0.0580160143961	-0.0778648239635	0.304189446425	2.17279915983	0.819456802747	-0.267072749702	0.0
178	-0.0689719808593	-0.00622742464433	0.195590476034	0.69354475645	2.48960782011	-1.129183978	4.71238898038	0.0580160143961	-0.0778648239635	0.304189446425	2.17279915983	0.819456802747	-0.267072749702	0.0
