	M1PX	M1PY	M1PZ	M1RX	M1RY	M1RZ	M2PX	M2PY	M2PZ	M2RX	M2RY	M2RZ
171	-0.0665335818923	-0.00238917916196	0.192157533449	2.73494968046	-5.26447408037	2.59325870838	0.0579604481909	-0.0778293048921	0.303901846409	2.17952013873	0.824505886213	-0.264586838304
172	-0.0669726800173	-0.0029727672932	0.192618189032	2.72159237037	-5.19193281638	2.55960292391	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
173	-0.0672587841066	-0.00353447472464	0.192981984792	2.72039884371	-5.12756757035	2.53229067053	0.0583927718916	-0.0784859156487	0.306485549881	2.19373331745	0.841568013828	-0.286411986179
174	-0.0676422330085	-0.00410391765379	0.193588244805	2.709204095	-5.03930365593	2.48601419266	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
175	-0.0678133212638	-0.00471246279821	0.193690451011	2.68828429812	-4.93432039696	2.43860434954	0.0578218481596	-0.0777030060849	0.303998194322	2.19184348836	0.828563767514	-0.278766165417
176	-0.0682396440038	-0.00521180318274	0.194257439136	2.72810582336	-4.94340131197	2.45055572146	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
177	-0.0684491601889	-0.00573325025173	0.194665905915	2.66715309	-4.78553081651	2.3681370071	0.0580160143961	-0.0778648239635	0.304189446425	2.18607966863	0.824465458622	-0.268705142639
178	-0.0687785556715	-0.00623833589383	0.195258437785	2.67832208044	-4.75094548886	2.36451377845	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
179	-0.0691671746528	-0.00680174634444	0.195940228148	2.69523339178	-4.72217650574	2.33997035059	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
180	-0.0692740146971	-0.00726113104665	0.195978982188	2.68716753014	-4.66708124828	2.31540117037	0.0579892198513	-0.0780704990756	0.304841753587	2.18449425053	0.835509476161	-0.283937872733
181	-0.069552150404	-0.00776023612263	0.196283978471	2.67400507675	-4.60006587718	2.28777476648	0.0580558048933	-0.0782076750347	0.305381865311	2.18890805784	0.840676340827	-0.28804249194
182	-0.0697820815568	-0.00831910347724	0.196721218187	2.66973248069	-4.54755113848	2.26439008163	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
183	-0.0697820815568	-0.00831910347724	0.196721218187	2.66973248069	-4.54755113848	2.26439008163	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
184	-0.0703669565872	-0.00956726783324	0.197938727855	2.62507063752	-4.3516316619	2.18251261447	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
185	-0.070696108014	-0.0102364191262	0.198759177548	2.64049299657	-4.30353209533	2.16013209813	0.0583927718916	-0.0784859156487	0.306485549881	2.19373331745	0.841568013828	-0.286411986179
186	-0.0710017795098	-0.0109467091008	0.199363802322	2.6113754404	-4.19863672394	2.10766131122	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
187	-0.0712842876038	-0.0116405813315	0.200052838184	2.62454487311	-4.16409856436	2.09611710454	0.0580160143961	-0.0778648239635	0.304189446425	2.18607966863	0.824465458622	-0.268705142639
188	-0.0712842876038	-0.0116405813315	0.200052838184	2.62454487311	-4.16409856436	2.09611710454	0.0580160143961	-0.0778648239635	0.304189446425	2.18607966863	0.824465458622	-0.268705142639
189	-0.0717619875607	-0.0131311939752	0.201210797799	2.58920382869	-3.98791323134	2.01736853677	0.0576902183012	-0.0778295347836	0.303755073358	2.18691877221	0.829270357084	-0.27492860509
190	-0.0722316138323	-0.0139981856117	0.202314622155	2.61614836801	-3.95868823545	1.99879492573	0.0580558048933	-0.0782076750347	0.305381865311	2.18890805784	0.840676340827	-0.28804249194
191	-0.0724112052626	-0.0146557596953	0.203458408988	2.58818077038	-3.80788718566	1.93832955469	0.0576902183012	-0.0778295347836	0.303755073358	2.18691877221	0.829270357084	-0.27492860509
192	-0.0724823365055	-0.0154600961458	0.203631802992	2.5867786053	-3.76348090121	1.92574382848	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
193	-0.0727649974235	-0.0162136545621	0.204680791953	2.59326215354	-3.71052857704	1.89485184594	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
194	-0.0728676014411	-0.0169720109145	0.205158048821	2.58147855042	-3.64418475641	1.85572791495	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
195	-0.0729401174596	-0.0175482060634	0.205594574211	2.57421176753	-3.58813597283	1.83451015389	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
196	-0.0729753701723	-0.0182041952038	0.205785440042	2.58365063614	-3.56648361236	1.82085715652	0.0583251075728	-0.0783473740229	0.305940050316	2.18926198308	0.836366337083	-0.282287843925
197	-0.0731043505465	-0.0187791782739	0.206485788489	2.56927146604	-3.50970812416	1.79797528783	0.0577528956164	-0.0775633236205	0.30344722298	2.18738302981	0.823447702954	-0.274724800005
198	-0.0734632669556	-0.0194351629173	0.207720720056	2.58177442692	-3.48353867097	1.78677278097	0.0577528956164	-0.0775633236205	0.30344722298	2.18738302981	0.823447702954	-0.274724800005
199	-0.0735031381972	-0.0199604710772	0.208077677926	2.57512156735	-3.42923205032	1.76739668274	0.0578218481596	-0.0777030060849	0.303998194322	2.19184348836	0.828563767514	-0.278766165417
200	-0.0738732357846	-0.0206807530109	0.209315613544	2.57458466927	-3.39061227801	1.74004146141	0.058157161737	-0.0779923095865	0.30468564208	2.19010325753	0.829271393421	-0.272356801301
201	-0.073793109498	-0.0212978307835	0.209510806972	2.56472928805	-3.34786910801	1.72246795786	0.0577528956164	-0.0775633236205	0.30344722298	2.18738302981	0.823447702954	-0.274724800005
202	-0.0738803432744	-0.0218797096748	0.210107603571	2.55241084181	-3.29547607121	1.70267190184	0.0579245359717	-0.0777771828416	0.304135047929	2.18451097814	0.823388048167	-0.267962326256
203	-0.0738466670181	-0.0224676666794	0.210704958204	2.54242602917	-3.23207448218	1.6804611537	0.0578544382338	-0.077805142161	0.303790620964	2.1785149671	0.823626595427	-0.263695621372
