	M1PX	M1PY	M1PZ	M1RX	M1RY	M1RZ	M2PX	M2PY	M2PZ	M2RX	M2RY	M2RZ
242	-0.105106961759	-0.0325227023982	0.221174222844	1.89005686176	2.27139485773	-0.917173371771	0.0578940300545	-0.0782029187539	0.305351291627	2.19149835153	0.813611110837	-0.259285123089
243	-0.105047609735	-0.0332069482834	0.221974057312	1.90349462877	2.30949519951	-0.928857623528	0.0575618145589	-0.0779294560647	0.304266316427	2.18680939334	0.812894406842	-0.261086460307
244	-0.105107155727	-0.0339988640965	0.222880436099	1.89359125052	2.32224837586	-0.933929148683	0.0578750942131	-0.0784216184281	0.306053156172	2.19010955737	0.824746984837	-0.274612719541
245	-0.104873699926	-0.0346047988684	0.223538580459	1.88978341999	2.33512027076	-0.939638710817	0.0580689783108	-0.0785701425256	0.306652053937	2.19084473761	0.820707032174	-0.269192750961
246	-0.104854517429	-0.0352363359155	0.224301214817	1.9002750797	2.36558837487	-0.959425785403	0.0577339651873	-0.0782930557086	0.3055533898	2.18610227102	0.81993932222	-0.27093454907
247	-0.105045820191	-0.0361738970798	0.225880013895	1.89418694493	2.38619623468	-0.958648937289	0.0577339651873	-0.0782930557086	0.3055533898	2.18610227102	0.81993932222	-0.27093454907
248	-0.104919538263	-0.0368453657229	0.226475145714	1.87551720429	2.38048220663	-0.961044798455	0.0578034973191	-0.0784353720693	0.306113239439	2.19058692825	0.82508056018	-0.274985962044
249	-0.105207937936	-0.0377097372697	0.228236966332	1.88397612797	2.420002385	-0.976029764874	0.0577339651873	-0.0782930557086	0.3055533898	2.18610227102	0.81993932222	-0.27093454907
250	-0.104684935567	-0.0382687485103	0.228298630355	1.89546939587	2.45838001642	-0.997327340024	0.0578034973191	-0.0784353720693	0.306113239439	2.19058692825	0.82508056018	-0.274985962044
251	-0.104966929333	-0.0392364265544	0.23005783241	1.89250496506	2.48792261634	-1.00699098419	0.0577339651873	-0.0782930557086	0.3055533898	2.18610227102	0.81993932222	-0.27093454907
252	-0.104976359166	-0.0402312410254	0.231603240522	1.88511462171	2.50694257409	-1.01114196668	0.0577339651873	-0.0782930557086	0.3055533898	2.18610227102	0.81993932222	-0.27093454907
253	-0.104794485838	-0.040920247534	0.232360782964	1.88397375714	2.52942838669	-1.02745068826	0.0579621182995	-0.0785457018258	0.30653968528	2.18982397139	0.819825040627	-0.268291989824
254	-0.104584474044	-0.0417636328637	0.233686307635	1.8817496577	2.54505206257	-1.03650263274	0.0575618145589	-0.0779294560647	0.304266316427	2.18680939334	0.812894406842	-0.261086460307
255	-0.104434438293	-0.0426165947892	0.234610081515	1.89058445139	2.59429392505	-1.05246526573	0.0574863409543	-0.0781396401391	0.304939705166	2.18110557973	0.814285570584	-0.266394667029
256	-0.104381068992	-0.0434769150882	0.236083727384	1.89411054374	2.62740883756	-1.06366082612	0.0575404552487	-0.0781739698402	0.305222956396	2.18769486475	0.814227159346	-0.270536817012
257	-0.104381068992	-0.0434769150882	0.236083727384	1.89411054374	2.62740883756	-1.06366082612	0.0575404552487	-0.0781739698402	0.305222956396	2.18769486475	0.814227159346	-0.270536817012
258	-0.104381068992	-0.0434769150882	0.236083727384	1.89411054374	2.62740883756	-1.06366082612	0.0575404552487	-0.0781739698402	0.305222956396	2.18769486475	0.814227159346	-0.270536817012
259	-0.103747608147	-0.0457755912182	0.238746771494	1.87688459305	2.6861273773	-1.09065585184	0.0577839247982	-0.0785353983153	0.306488902676	2.18928841281	0.819276034364	-0.267760036626
260	-0.103496662588	-0.0464956057871	0.239493719022	1.89524365936	2.74656782486	-1.11895410797	0.0577839247982	-0.0785353983153	0.306488902676	2.18928841281	0.819276034364	-0.267760036626
261	-0.103382579218	-0.047351912675	0.240794940401	1.87689865492	2.74542486044	-1.11949842919	0.0577127350481	-0.0783906069726	0.305919401502	2.18476913978	0.814142229257	-0.26374314065
262	-0.103119541377	-0.0479871005686	0.241540073676	1.89763750115	2.81438853327	-1.14537263107	0.0575404552487	-0.0781739698402	0.305222956396	2.18769486475	0.814227159346	-0.270536817012
263	-0.103259380584	-0.0489035931855	0.243562139893	1.89306488543	2.82935252879	-1.15037196528	0.0577127350481	-0.0783906069726	0.305919401502	2.18476913978	0.814142229257	-0.26374314065
264	-0.102865588434	-0.0494809444903	0.243988977547	1.88578390841	2.84469718157	-1.15631883753	0.0577839247982	-0.0785353983153	0.306488902676	2.18928841281	0.819276034364	-0.267760036626
